iter	Passed	Remaining
853	254370	133000
854	254725	132731
855	255066	132455
856	255374	132162
857	255692	131874
858	256024	131593
859	256370	131318
860	256670	131021
861	257029	130753
862	257388	130485
863	257666	130176
864	258105	129948
865	258523	129709
866	258864	129432
867	259257	129180
868	259792	128998
869	260391	128847
870	261111	128754
871	261628	128561
872	262332	128458
873	262970	128322
874	263491	128127
875	263916	127886
876	264355	127651
877	264827	127431
878	265222	127173
879	265526	126872
880	265840	126576
881	266330	126363
882	266833	126155
883	267362	125960
884	267881	125758
885	268317	125517
886	268626	125217
887	268950	124924
888	269307	124645
889	269591	124333
890	269875	124021
891	270170	123714
892	270477	123413
893	270795	123116
894	271114	122820
895	271487	122548
896	271822	122259
897	272195	121987
898	272588	121723
899	273054	121492
900	273501	121252
901	273816	120953
902	274126	120652
903	274472	120366
904	274770	120059
905	275104	119769
906	275415	119468
907	275771	119186
908	276119	118901
909	276514	118636
910	276821	118333
911	277151	118040
912	277458	117737
913	277752	117428
914	278058	117125
915	278381	116829
916	278704	116532
917	278978	116215
918	279295	115916
919	279667	115640
920	279953	115328
921	280281	115034
922	280593	114732
923	280935	114443
924	281264	114149
925	281543	113834
926	281842	113528
927	282137	113220
928	282431	112911
929	282767	112620
930	283090	112323
931	283431	112032
932	283729	111726
933	284023	111417
934	284341	111118
935	284657	110818
936	284979	110520
937	285320	110230
938	285645	109934
939	285962	109634
940	286307	109345
941	286675	109064
942	286985	108762
943	287326	108470
944	287755	108213
945	288101	107923
946	288451	107635
947	288770	107336
948	289092	107037
949	289472	106760
950	289817	106469
951	290112	106160
952	290436	105862
953	290788	105574
954	291103	105273
955	291461	104987
956	291761	104679
957	292070	104376
958	292385	104074
959	292683	103766
960	293008	103468
961	293364	103181
962	293677	102878
963	293970	102569
964	294247	102254
965	294600	101965
966	294927	101667
967	295242	101365
968	295586	101073
969	295909	100774
970	296208	100466
971	296560	100176
972	296925	99891
973	297274	99600
974	297569	99291
975	297871	98985
976	298184	98681
977	298542	98393
978	298866	98094
979	299240	97810
980	299564	97511
981	299941	97228
982	300434	96983
983	300756	96682
984	301072	96379
985	301398	96080
986	301734	95783
987	302042	95478
988	302348	95172
989	302624	94857
990	302932	94551
991	303212	94237
992	303507	93928
993	303822	93625
994	304157	93327
995	304462	93021
996	304726	92702
997	305017	92392
998	305308	92082
999	305604	91773
1000	305930	91473
1001	306215	91161
1002	306510	90851
1003	306822	90547
1004	307099	90233
1005	307437	89936
1006	307717	89623
1007	308003	89311
1008	308317	89008
1009	308611	88699
1010	308949	88402
1011	309253	88096
1012	309579	87795
1013	309895	87492
1014	310210	87189
1015	310641	86918
1016	310958	86615
1017	311303	86320
1018	311612	86014
1019	311970	85722
1020	312278	85417
1021	312570	85107
1022	312960	84823
1023	313369	84545
1024	313696	84244
1025	314017	83942
1026	314345	83641
1027	314667	83339
1028	314959	83029
1029	315243	82717
1030	315573	82416
1031	315880	82110
1032	316183	81803
1033	316517	81504
1034	316842	81202
1035	317182	80904
1036	317503	80601
