iter	Accuracy	Logloss
209	0.8474123466	0.3675190533
210	0.8474785834	0.3673956894
211	0.8475374606	0.3672333943
212	0.8475374606	0.3671054217
213	0.8475595396	0.3670014048
214	0.8477140923	0.3668647889
215	0.847699373	0.3667580936
216	0.8477582502	0.3666651277
217	0.8477729695	0.3665492506
218	0.8478024081	0.3664122582
219	0.8479348818	0.3662753001
220	0.8479643204	0.3661267638
221	0.8480379169	0.3660404307
222	0.8481335924	0.3659414499
223	0.8481777503	0.3658453646
224	0.8481777503	0.3657711326
225	0.8482145486	0.365683763
226	0.8482734258	0.3655677555
227	0.8483396626	0.3654975034
228	0.8483838205	0.3653961666
229	0.8484942153	0.3653018963
230	0.8486634873	0.3651867019
231	0.8487444435	0.365087239
232	0.8487665224	0.3649997451
233	0.8488695575	0.3648885456
234	0.8488474786	0.3647802153
235	0.8489505137	0.3646959657
236	0.8489946716	0.3646259828
237	0.848965233	0.3645202827
238	0.8489725927	0.3644435496
239	0.8490829874	0.3643180101
240	0.8491492243	0.3642102078
241	0.8491933822	0.3641290772
242	0.849303777	0.3639954225
243	0.8493994524	0.3639150313
244	0.8494362507	0.3638338783
245	0.8495466455	0.3637124283
246	0.8496055227	0.3636067307
247	0.8496055227	0.3635168857
248	0.8496055227	0.3634513398
249	0.8496423209	0.3633563893
250	0.8497306368	0.3632934216
251	0.8497453561	0.3632078009
252	0.8498042333	0.3631205062
253	0.8498336719	0.3630704075
254	0.8498557508	0.3629858446
255	0.849958786	0.3628887292
256	0.8499661456	0.3628053317
257	0.8499808649	0.3627533319
258	0.8500323825	0.3626897838
259	0.8500618211	0.3625899062
260	0.8500691807	0.3625200805
261	0.850105979	0.3624267454
262	0.8502090141	0.3623639171
263	0.8501942948	0.3622832368
264	0.8502973299	0.362229242
265	0.8503194089	0.3621763986
266	0.8504518826	0.3620763694
267	0.8504739616	0.3620028366
268	0.8504886809	0.3619255939
269	0.8505843563	0.3618298926
270	0.8506064353	0.361727549
271	0.8506800318	0.3616231419
272	0.8507168301	0.3615403339
273	0.8507168301	0.3614526845
274	0.8507462687	0.3613844046
275	0.8507683476	0.3612724684
276	0.8508125055	0.361210546
277	0.850886102	0.3611186607
278	0.8509155406	0.3610546333
279	0.8509891372	0.3609237158
280	0.8510185758	0.3608402965
281	0.8511068916	0.3607766214
282	0.8511436898	0.360672415
283	0.851224646	0.3605681709
284	0.8512835232	0.360482556
285	0.8513571197	0.3604121648
286	0.8513424004	0.3603663394
287	0.8514086373	0.3603047568
288	0.8514307162	0.3602083758
289	0.8514969531	0.3601053869
290	0.8515999882	0.3600280273
291	0.8516367865	0.3599453801
292	0.8516515058	0.3598515862
293	0.851710383	0.3597811892
294	0.8517913392	0.3596891939
295	0.8518060585	0.3596279879
296	0.8518354971	0.35957384
297	0.8519090936	0.3595021408
298	0.8520121287	0.3594092198
299	0.8521446024	0.359335311
300	0.8521298831	0.359262323
301	0.8521814007	0.3591856528
302	0.8522991551	0.3590991825
303	0.8523801113	0.3590254228
304	0.8523285937	0.3589387927
305	0.8523065148	0.3588728509
306	0.8524021902	0.3587980315
307	0.8524463481	0.3587189836
308	0.852490506	0.3586626011
309	0.852490506	0.3586010746
310	0.8525420236	0.3585201126
311	0.8526303394	0.3584608961
312	0.8527333745	0.358413275
313	0.8527333745	0.358339206
